H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, citeseer, 69.46, 0.41, 43.66, 0.34, 44.94, 0.63, 65.14, 0.45, 79.28, 0.19, 2.74, 0.17
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, citeseer, 69.53, 0.28, 43.85, 0.32, 45.06, 0.50, 65.17, 0.17, 79.37, 0.13, 2.57, 0.08
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, citeseer, 69.50, 0.20, 43.81, 0.23, 44.93, 0.33, 65.15, 0.14, 79.47, 0.05, 2.46, 0.12
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, citeseer, 69.63, 0.25, 43.92, 0.24, 45.16, 0.37, 65.37, 0.32, 79.53, 0.16, 2.50, 0.11
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, citeseer, 69.56, 0.37, 43.78, 0.46, 45.00, 0.67, 65.12, 0.44, 79.45, 0.28, 2.46, 0.13
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, citeseer, 69.53, 0.47, 43.83, 0.60, 45.00, 1.00, 65.11, 0.51, 79.44, 0.33, 2.50, 0.15
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, citeseer, 69.49, 0.51, 43.57, 0.73, 44.84, 0.98, 65.16, 0.42, 79.52, 0.24, 2.46, 0.11
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, citeseer, 69.53, 0.16, 43.69, 0.34, 45.01, 0.47, 65.25, 0.16, 79.51, 0.28, 2.51, 0.20
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, citeseer, 69.52, 0.29, 43.52, 0.44, 44.76, 0.61, 65.27, 0.16, 79.49, 0.21, 2.49, 0.17
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, citeseer, 69.63, 0.23, 43.79, 0.23, 45.31, 0.20, 65.39, 0.23, 79.57, 0.10, 2.61, 0.07
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, citeseer, 69.66, 0.29, 43.81, 0.37, 45.19, 0.26, 65.37, 0.31, 79.64, 0.12, 2.43, 0.11
