H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, cornell, 63.17, 1.27, 26.11, 1.32, 27.86, 2.01, 45.32, 2.29, 42.01, 4.89, 19.81, 2.80
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, cornell, 61.75, 2.42, 27.21, 2.64, 25.35, 3.63, 44.49, 4.29, 41.49, 4.51, 19.60, 3.41
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, cornell, 61.31, 1.31, 26.45, 2.32, 25.13, 3.57, 42.03, 4.17, 40.40, 4.56, 18.88, 3.40
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, cornell, 63.61, 1.27, 29.03, 2.36, 29.52, 2.59, 44.79, 2.36, 41.43, 3.90, 20.43, 2.49
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, cornell, 62.51, 1.13, 26.64, 2.29, 26.73, 2.46, 44.34, 3.52, 41.46, 5.02, 18.49, 2.64
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, cornell, 61.75, 1.83, 27.95, 0.85, 26.42, 1.66, 42.68, 2.67, 39.44, 5.54, 17.03, 2.61
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, cornell, 61.86, 1.52, 26.49, 2.63, 27.04, 1.96, 45.00, 2.38, 43.09, 3.43, 20.37, 3.45
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, cornell, 62.30, 0.91, 28.55, 1.52, 25.79, 0.66, 43.33, 4.31, 39.10, 4.01, 17.12, 3.26
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, cornell, 61.86, 2.71, 26.79, 2.42, 25.75, 3.25, 43.38, 4.36, 42.25, 2.63, 16.64, 2.33
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, cornell, 60.22, 1.84, 23.44, 2.21, 24.51, 3.00, 41.58, 4.49, 43.10, 4.65, 17.12, 2.68
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, cornell, 63.28, 0.80, 26.71, 2.35, 26.89, 2.58, 46.26, 2.36, 42.77, 3.83, 18.12, 2.50
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, cornell, 62.62, 1.01, 25.52, 2.80, 27.15, 1.25, 45.50, 1.95, 44.41, 1.54, 19.12, 0.85
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, cornell, 59.34, 0.95, 22.58, 2.67, 22.37, 2.67, 39.60, 3.30, 41.02, 2.39, 15.32, 1.53
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, cornell, 61.31, 2.11, 24.95, 1.26, 25.95, 2.08, 41.89, 1.36, 42.91, 2.85, 16.79, 1.59
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, cornell, 61.09, 1.17, 24.92, 0.92, 24.66, 2.31, 41.74, 2.75, 41.11, 3.80, 15.91, 1.96
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, cornell, 60.77, 0.87, 24.81, 3.07, 24.27, 1.79, 43.88, 2.57, 43.67, 2.32, 17.79, 2.59
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, cornell, 59.56, 1.42, 19.75, 4.64, 22.84, 1.39, 38.73, 1.65, 42.46, 4.38, 13.63, 2.91
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, cornell, 60.22, 3.29, 22.40, 4.45, 22.39, 4.62, 40.72, 3.29, 40.75, 3.21, 15.10, 3.99
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, cornell, 59.56, 1.62, 20.48, 3.62, 20.29, 2.65, 38.05, 2.53, 37.97, 5.61, 12.59, 4.26
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, cornell, 59.67, 0.94, 22.01, 5.01, 21.08, 4.14, 39.60, 5.48, 40.61, 5.16, 14.13, 4.22
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, cornell, 59.56, 0.60, 12.65, 0.88, 17.14, 1.52, 32.80, 1.07, 30.94, 2.06, 7.82, 1.39
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, cornell, 59.23, 0.74, 12.73, 0.83, 17.93, 2.44, 32.98, 1.70, 32.73, 4.32, 7.88, 1.32
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, cornell, 60.00, 0.72, 13.52, 1.58, 17.07, 1.03, 34.04, 1.23, 32.51, 2.16, 8.20, 1.54
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, cornell, 59.89, 1.41, 15.34, 3.10, 18.85, 3.52, 35.75, 4.71, 35.40, 6.06, 11.16, 5.53
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, cornell, 62.08, 1.01, 16.38, 2.24, 19.71, 4.10, 33.80, 1.56, 27.46, 3.46, 8.43, 2.01
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, cornell, 61.86, 1.11, 16.80, 1.70, 20.44, 4.72, 34.27, 1.55, 30.32, 5.54, 8.88, 1.79
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, cornell, 62.51, 1.37, 17.10, 2.51, 21.77, 7.70, 35.57, 2.32, 27.47, 2.08, 11.55, 8.43
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, cornell, 61.75, 1.25, 17.59, 3.72, 20.40, 3.50, 36.06, 2.77, 32.42, 6.76, 11.27, 4.84
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, cornell, 63.72, 2.73, 28.48, 2.71, 28.79, 3.92, 47.43, 3.47, 43.01, 2.02, 19.28, 1.55
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, cornell, 61.09, 1.74, 25.42, 1.94, 23.87, 2.47, 41.05, 2.96, 40.27, 5.42, 17.49, 2.78
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, cornell, 63.61, 2.46, 27.13, 3.48, 27.70, 3.81, 47.13, 3.36, 42.81, 3.70, 19.01, 1.27
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, cornell, 61.86, 1.67, 26.06, 1.01, 28.10, 2.25, 44.82, 1.15, 44.52, 2.80, 19.78, 1.55
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, cornell, 60.66, 2.34, 21.08, 6.20, 22.57, 6.62, 37.80, 3.42, 38.50, 5.61, 13.01, 3.77
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, cornell, 59.67, 1.60, 21.84, 1.97, 22.22, 2.82, 42.82, 4.01, 45.75, 5.60, 17.02, 2.07
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, cornell, 59.78, 1.01, 20.41, 3.64, 22.94, 3.64, 39.97, 3.10, 42.53, 2.75, 15.97, 3.90
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, cornell, 60.98, 1.41, 22.80, 1.31, 24.34, 2.79, 42.43, 1.67, 42.52, 2.79, 16.49, 1.54
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, cornell, 61.53, 1.41, 15.34, 2.12, 21.09, 3.02, 34.87, 1.77, 32.39, 3.21, 8.40, 0.95
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, cornell, 61.42, 0.82, 17.78, 3.95, 21.29, 2.95, 36.79, 4.46, 34.88, 6.49, 11.34, 4.45
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, cornell, 60.55, 0.94, 15.23, 1.78, 19.13, 3.45, 32.64, 0.86, 31.18, 3.44, 9.68, 2.09
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, cornell, 61.42, 1.23, 15.54, 1.97, 19.16, 3.44, 34.10, 2.21, 29.69, 3.16, 8.73, 1.57
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, cornell, 63.28, 0.41, 17.92, 1.48, 22.02, 2.92, 37.33, 1.91, 30.83, 4.09, 9.98, 2.74
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, cornell, 63.28, 0.54, 17.68, 0.48, 21.71, 2.86, 36.81, 2.01, 30.14, 5.33, 9.55, 1.53
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, cornell, 62.73, 0.41, 17.51, 1.48, 19.96, 0.75, 35.73, 2.12, 28.71, 4.29, 8.88, 1.25
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, cornell, 63.39, 0.49, 17.87, 0.80, 20.86, 1.03, 37.08, 1.82, 29.02, 2.31, 9.19, 1.16
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, cornell, 64.26, 0.74, 20.01, 1.48, 23.20, 2.35, 39.08, 2.03, 30.20, 5.01, 10.99, 2.02
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, cornell, 64.26, 0.66, 19.15, 0.86, 23.35, 1.20, 38.47, 1.81, 30.54, 2.94, 11.08, 1.59
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, cornell, 64.48, 1.38, 20.70, 0.68, 25.92, 2.74, 37.86, 1.52, 32.97, 3.61, 11.93, 1.32
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, cornell, 63.61, 0.66, 19.60, 1.07, 22.04, 2.97, 36.70, 1.88, 27.77, 2.15, 10.36, 0.73
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, cornell, 64.70, 0.44, 20.55, 1.87, 24.82, 1.57, 40.38, 1.08, 29.86, 1.60, 12.53, 1.33
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, cornell, 64.37, 1.48, 21.16, 2.28, 23.55, 3.21, 38.32, 2.41, 29.96, 5.40, 11.32, 1.54
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, cornell, 64.37, 1.11, 22.13, 1.98, 25.56, 2.30, 41.10, 0.77, 34.01, 2.38, 13.79, 1.09
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, cornell, 65.03, 0.35, 22.51, 1.45, 25.05, 0.34, 40.81, 0.71, 31.77, 2.59, 12.68, 0.67
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, cornell, 63.83, 1.27, 23.12, 2.74, 27.14, 3.23, 40.03, 3.28, 29.00, 6.67, 22.14, 8.61
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, cornell, 63.93, 0.49, 26.10, 4.17, 30.11, 5.55, 41.23, 3.09, 34.03, 4.11, 20.49, 7.01
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, cornell, 64.48, 0.91, 23.41, 2.49, 26.76, 2.94, 41.45, 2.25, 24.46, 4.64, 24.84, 9.60
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, cornell, 63.39, 1.25, 21.39, 2.82, 27.34, 2.95, 38.21, 2.78, 25.25, 3.51, 25.39, 7.06
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, cornell, 62.19, 1.22, 26.21, 2.50, 26.33, 3.16, 43.16, 4.00, 40.58, 4.79, 18.83, 3.00
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, cornell, 62.08, 1.01, 27.47, 3.48, 27.53, 2.67, 42.07, 3.59, 40.06, 2.26, 18.46, 1.08
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, cornell, 62.40, 2.62, 29.03, 1.55, 27.39, 3.02, 45.08, 2.64, 41.29, 4.92, 19.47, 3.73
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, cornell, 61.75, 1.42, 25.68, 2.05, 26.01, 0.81, 43.29, 2.48, 41.09, 2.91, 19.66, 1.81
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, cornell, 60.33, 1.23, 27.53, 3.96, 24.35, 2.87, 39.31, 2.94, 36.71, 3.06, 16.98, 2.63
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, cornell, 60.66, 1.86, 24.97, 2.46, 23.52, 3.31, 44.13, 3.98, 43.19, 2.71, 19.17, 3.19
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, cornell, 62.84, 2.27, 27.51, 3.79, 27.31, 2.45, 42.75, 5.25, 42.28, 4.24, 18.91, 4.02
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, cornell, 62.30, 2.29, 25.92, 2.15, 27.34, 3.86, 45.93, 2.72, 44.10, 1.66, 20.44, 1.17
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, cornell, 60.22, 1.27, 26.75, 3.07, 23.27, 1.69, 44.96, 2.62, 44.44, 2.08, 18.42, 2.91
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, cornell, 61.86, 1.97, 28.60, 2.19, 26.42, 2.15, 47.36, 1.88, 45.41, 1.57, 20.11, 2.02
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, cornell, 61.42, 1.85, 24.82, 1.48, 27.08, 4.44, 42.53, 2.31, 42.68, 2.71, 17.87, 2.66
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, cornell, 60.44, 1.53, 25.00, 2.11, 25.08, 2.82, 43.58, 2.58, 45.22, 3.47, 18.72, 3.29
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, cornell, 59.56, 1.38, 22.63, 2.31, 23.03, 1.45, 40.01, 2.19, 42.10, 4.09, 16.56, 1.73
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, cornell, 60.33, 3.02, 23.61, 3.24, 22.25, 4.75, 43.13, 2.71, 43.25, 4.10, 17.21, 2.75
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, cornell, 60.33, 1.91, 25.82, 1.39, 22.87, 2.71, 44.89, 3.44, 45.25, 3.53, 19.05, 3.25
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, cornell, 58.69, 1.23, 23.24, 2.04, 21.88, 1.49, 40.82, 2.36, 43.96, 2.78, 16.89, 2.91
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, cornell, 59.78, 1.64, 24.50, 1.78, 24.61, 2.02, 43.33, 2.73, 47.50, 2.81, 19.73, 1.46
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, cornell, 60.00, 1.94, 20.17, 4.78, 21.72, 4.45, 40.46, 4.12, 41.90, 5.78, 15.10, 4.86
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, cornell, 59.56, 1.25, 20.11, 0.91, 21.29, 1.38, 39.67, 4.18, 40.37, 4.99, 15.23, 3.40
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, cornell, 60.66, 1.47, 24.01, 2.17, 23.11, 2.14, 43.74, 4.27, 42.98, 3.38, 17.92, 3.34
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, cornell, 58.80, 1.07, 17.73, 4.89, 17.95, 3.99, 37.31, 5.72, 36.93, 6.84, 13.01, 6.27
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, cornell, 57.05, 0.74, 11.96, 2.45, 13.54, 3.65, 29.99, 2.07, 31.45, 4.18, 7.65, 2.24
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, cornell, 58.47, 1.42, 10.96, 1.41, 14.23, 2.95, 31.07, 2.75, 29.32, 5.02, 6.75, 1.08
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, cornell, 57.81, 1.27, 17.14, 5.29, 18.03, 3.23, 35.80, 5.54, 40.09, 4.42, 11.91, 3.26
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, cornell, 61.75, 0.77, 15.82, 1.00, 21.79, 3.61, 34.94, 2.17, 32.12, 4.14, 9.34, 1.04
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, cornell, 62.19, 0.22, 15.77, 1.14, 19.46, 2.86, 35.86, 1.64, 29.94, 3.96, 8.10, 0.77
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, cornell, 61.64, 0.22, 15.28, 1.43, 18.66, 1.73, 33.54, 1.79, 28.49, 4.07, 7.78, 0.82
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, cornell, 61.20, 1.09, 14.77, 1.54, 18.03, 2.31, 34.84, 2.20, 29.28, 1.47, 7.82, 0.64
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, cornell, 61.97, 0.44, 25.48, 1.65, 25.43, 1.30, 43.45, 4.07, 42.54, 4.95, 18.14, 3.77
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, cornell, 61.86, 1.17, 25.54, 1.93, 24.98, 1.00, 44.21, 2.25, 42.08, 3.44, 17.79, 1.44
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, cornell, 60.98, 0.82, 25.46, 2.32, 23.24, 1.41, 40.44, 3.85, 38.99, 4.50, 16.69, 2.82
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, cornell, 61.64, 1.17, 27.93, 1.28, 24.99, 1.64, 45.61, 3.72, 41.77, 4.47, 18.66, 4.23
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, cornell, 58.80, 1.78, 21.56, 3.58, 21.67, 4.03, 39.11, 2.46, 42.70, 3.64, 16.55, 3.76
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, cornell, 59.34, 1.41, 22.86, 2.56, 21.79, 2.93, 39.97, 2.56, 41.35, 4.36, 15.35, 2.01
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, cornell, 61.31, 1.71, 23.42, 2.22, 23.09, 0.84, 42.65, 2.94, 41.99, 3.47, 16.56, 3.35
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, cornell, 60.11, 2.27, 24.05, 2.67, 24.40, 3.32, 44.06, 2.36, 45.25, 1.58, 19.82, 1.63
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, cornell, 58.69, 0.82, 13.14, 1.37, 16.75, 3.83, 32.27, 2.46, 33.82, 5.66, 8.28, 1.96
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, cornell, 59.78, 0.44, 14.94, 1.19, 20.07, 3.66, 33.19, 1.47, 34.12, 7.17, 8.92, 1.88
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, cornell, 60.00, 0.72, 14.34, 1.11, 18.21, 1.53, 33.37, 3.16, 33.81, 5.26, 8.47, 1.32
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, cornell, 60.66, 1.29, 15.13, 2.85, 20.29, 3.93, 34.40, 4.25, 35.26, 8.56, 9.57, 3.05
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, cornell, 62.84, 0.35, 17.89, 0.66, 19.68, 1.15, 35.01, 1.88, 26.66, 3.20, 8.76, 1.71
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, cornell, 62.84, 0.49, 19.16, 1.00, 20.01, 1.47, 34.43, 1.26, 26.57, 2.95, 9.18, 1.37
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, cornell, 63.50, 0.64, 18.85, 0.61, 20.59, 1.78, 35.40, 1.89, 26.09, 3.52, 8.15, 1.21
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, cornell, 63.50, 1.06, 17.97, 1.29, 20.62, 2.58, 36.85, 2.04, 28.87, 3.24, 8.61, 1.10
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, cornell, 63.06, 0.44, 19.79, 2.15, 20.93, 1.24, 35.70, 2.05, 24.11, 3.52, 12.27, 7.30
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, cornell, 63.93, 0.69, 20.66, 1.94, 22.10, 2.74, 39.33, 2.87, 31.47, 5.65, 11.78, 2.70
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, cornell, 63.28, 0.64, 19.09, 1.41, 23.05, 2.06, 36.38, 2.38, 31.45, 4.94, 10.73, 1.94
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, cornell, 63.61, 0.56, 18.77, 0.68, 21.91, 2.26, 36.68, 0.88, 27.66, 2.13, 9.80, 2.20
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, cornell, 64.26, 0.95, 21.32, 1.75, 22.82, 2.10, 38.22, 2.34, 26.19, 2.26, 13.59, 8.24
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, cornell, 63.93, 1.55, 21.31, 1.87, 24.82, 4.11, 39.50, 2.04, 28.40, 7.00, 15.21, 6.19
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, cornell, 64.26, 0.82, 21.90, 1.86, 24.74, 2.44, 39.36, 1.97, 23.24, 7.70, 22.01, 9.03
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, cornell, 63.93, 0.60, 19.96, 0.99, 22.15, 2.02, 38.78, 2.54, 24.33, 4.92, 17.72, 9.20
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, cornell, 63.93, 1.29, 23.30, 3.60, 25.15, 2.51, 41.60, 3.63, 30.33, 4.37, 18.07, 7.89
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, cornell, 63.28, 1.17, 20.58, 1.69, 26.03, 1.11, 40.00, 3.19, 33.64, 8.09, 20.02, 6.97
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, cornell, 63.17, 1.27, 21.72, 2.34, 25.24, 2.09, 39.22, 2.05, 30.18, 4.00, 17.87, 6.13
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, cornell, 63.72, 1.37, 22.46, 3.75, 28.05, 2.90, 41.66, 2.31, 37.18, 2.32, 17.30, 0.92
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, citeseer, 69.69, 0.35, 44.25, 0.22, 45.42, 0.31, 65.44, 0.28, 78.24, 0.32, 3.79, 0.27
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, citeseer, 69.57, 0.37, 44.01, 0.20, 45.12, 0.40, 65.25, 0.21, 78.30, 0.39, 3.68, 0.43
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, citeseer, 69.53, 0.39, 44.12, 0.20, 45.26, 0.27, 65.23, 0.32, 78.29, 0.40, 3.75, 0.34
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, citeseer, 69.48, 0.35, 44.10, 0.30, 45.23, 0.48, 65.24, 0.30, 78.47, 0.34, 3.60, 0.31
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, citeseer, 69.70, 0.31, 43.76, 0.30, 45.24, 0.55, 65.20, 0.20, 78.77, 0.40, 3.18, 0.32
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, citeseer, 69.68, 0.39, 43.97, 0.37, 45.32, 0.67, 65.23, 0.20, 78.85, 0.36, 3.12, 0.23
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, citeseer, 69.70, 0.32, 43.92, 0.33, 45.21, 0.61, 65.22, 0.27, 78.83, 0.35, 3.07, 0.29
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, citeseer, 69.68, 0.58, 44.13, 0.57, 45.40, 0.89, 65.32, 0.36, 78.96, 0.31, 3.04, 0.23
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, citeseer, 69.71, 0.21, 44.19, 0.52, 45.52, 0.51, 65.21, 0.19, 79.29, 0.16, 2.70, 0.14
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, citeseer, 69.72, 0.19, 43.95, 0.45, 45.36, 0.42, 65.36, 0.17, 79.27, 0.20, 2.75, 0.18
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, citeseer, 69.66, 0.21, 43.97, 0.30, 45.32, 0.28, 65.20, 0.12, 79.28, 0.32, 2.72, 0.18
