H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, texas, 58.03, 1.78, 17.80, 0.99, 24.04, 1.65, 34.03, 0.85, 45.30, 1.79, 11.87, 1.11
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, texas, 57.49, 1.11, 17.10, 2.12, 22.19, 2.03, 34.45, 0.74, 47.99, 2.05, 11.96, 0.78
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, texas, 54.43, 0.74, 13.59, 2.63, 20.90, 2.76, 32.68, 1.56, 50.06, 0.99, 13.02, 1.07
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, texas, 52.57, 1.27, 13.03, 1.45, 20.88, 1.44, 30.66, 2.67, 50.02, 1.26, 13.54, 1.01
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, texas, 53.22, 1.57, 12.11, 1.01, 20.17, 1.78, 31.21, 2.43, 49.74, 2.37, 12.62, 1.58
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, texas, 53.88, 1.78, 12.94, 1.19, 21.09, 2.21, 31.09, 2.65, 49.44, 0.94, 13.00, 0.66
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, texas, 53.11, 1.52, 11.78, 1.11, 19.29, 1.65, 31.43, 1.53, 51.07, 4.22, 12.31, 0.74
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, texas, 52.68, 1.71, 12.34, 1.95, 16.73, 2.54, 30.63, 2.04, 49.35, 5.28, 12.52, 1.48
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, texas, 53.22, 0.66, 11.62, 2.25, 19.62, 3.17, 32.03, 2.33, 50.36, 4.57, 12.10, 1.59
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, texas, 52.13, 1.13, 10.53, 2.08, 18.40, 2.96, 29.79, 1.14, 48.60, 3.59, 12.13, 2.25
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, texas, 56.61, 1.32, 14.97, 2.19, 20.04, 2.24, 33.01, 0.44, 46.28, 1.52, 11.16, 0.86
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, texas, 57.27, 1.27, 16.33, 2.87, 23.04, 1.69, 33.54, 1.66, 46.99, 2.14, 11.71, 0.86
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, texas, 57.05, 1.23, 15.48, 1.85, 21.11, 2.15, 32.98, 2.39, 45.50, 2.18, 11.05, 1.80
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, texas, 58.14, 0.74, 16.73, 3.52, 22.92, 1.01, 34.79, 1.82, 45.79, 4.37, 11.28, 1.74
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, texas, 60.55, 0.94, 20.66, 2.24, 26.70, 1.37, 35.13, 0.62, 45.16, 1.57, 12.37, 1.68
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, texas, 60.66, 0.77, 20.41, 0.69, 25.61, 1.38, 35.14, 1.81, 44.38, 1.76, 11.18, 1.20
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, texas, 59.89, 0.89, 18.78, 0.87, 25.13, 1.63, 33.43, 2.36, 43.83, 3.15, 10.56, 0.82
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, texas, 60.22, 0.64, 20.10, 0.98, 25.92, 1.19, 34.26, 1.25, 44.77, 2.74, 11.69, 1.14
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, texas, 60.87, 1.41, 22.24, 2.32, 27.32, 3.13, 36.26, 1.43, 42.87, 3.05, 14.28, 2.88
