H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, wisc, 48.92, 0.53, 13.49, 0.92, 11.28, 1.62, 34.18, 0.70, 52.52, 0.75, 14.44, 2.81
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, wisc, 48.76, 0.82, 13.53, 0.95, 10.81, 1.91, 33.39, 1.68, 52.28, 1.71, 14.08, 2.53
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, wisc, 49.48, 1.08, 15.11, 1.50, 13.04, 1.66, 35.46, 1.37, 53.15, 0.95, 17.86, 1.33
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, wisc, 49.48, 1.27, 14.34, 1.50, 12.52, 2.17, 34.30, 1.69, 52.42, 1.17, 15.10, 2.68
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, wisc, 49.40, 0.91, 14.12, 0.51, 11.43, 1.17, 34.94, 1.14, 53.41, 2.11, 12.98, 1.40
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, wisc, 48.92, 0.77, 13.74, 0.97, 11.09, 1.61, 33.92, 1.48, 52.87, 3.65, 12.53, 2.07
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, wisc, 49.40, 0.44, 14.38, 0.71, 11.18, 0.79, 34.19, 1.63, 52.40, 2.53, 11.84, 1.30
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, wisc, 49.88, 1.14, 13.93, 1.09, 11.22, 1.77, 33.82, 1.32, 51.34, 1.72, 12.26, 2.15
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, wisc, 53.55, 1.44, 20.68, 1.61, 18.68, 1.95, 38.67, 1.45, 52.42, 1.07, 20.40, 1.49
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, wisc, 53.94, 1.27, 21.75, 1.67, 18.64, 1.74, 39.03, 0.73, 51.07, 0.90, 21.58, 1.22
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, wisc, 54.02, 1.25, 21.50, 0.86, 19.17, 1.27, 38.96, 1.06, 51.58, 0.92, 21.16, 1.12
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, wisc, 53.94, 0.89, 21.55, 0.42, 18.75, 0.81, 38.85, 0.68, 51.28, 1.06, 21.30, 0.98
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, wisc, 51.39, 1.43, 17.42, 2.80, 14.33, 4.96, 36.67, 2.20, 50.49, 6.25, 16.68, 4.72
