H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, cora, 72.80, 0.79, 56.11, 0.96, 49.27, 1.47, 69.21, 0.68, 75.28, 0.98, 6.84, 0.74
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, cora, 72.66, 0.95, 56.06, 0.70, 49.31, 1.48, 69.06, 0.72, 75.31, 0.86, 6.88, 0.41
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, cora, 72.65, 0.74, 56.18, 0.76, 49.14, 0.99, 69.15, 0.62, 76.05, 0.58, 6.22, 0.28
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, cora, 72.93, 0.39, 56.84, 1.05, 49.01, 0.49, 69.56, 0.70, 75.52, 0.51, 6.23, 0.24
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, cora, 72.54, 0.83, 56.26, 0.91, 48.87, 1.17, 69.08, 0.70, 75.90, 0.69, 6.26, 0.19
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, cora, 72.36, 0.61, 55.65, 0.24, 48.75, 0.91, 68.80, 0.32, 76.18, 0.53, 6.12, 0.15
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, cora, 72.86, 0.67, 56.36, 0.68, 49.58, 0.96, 69.29, 0.49, 76.33, 0.41, 5.92, 0.20
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, cora, 72.64, 0.62, 56.26, 0.21, 49.35, 0.74, 69.25, 0.29, 76.42, 0.45, 5.89, 0.14
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, cora, 73.18, 0.94, 56.71, 0.85, 49.85, 1.54, 69.56, 0.76, 76.18, 0.45, 5.90, 0.12
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, cora, 72.97, 0.91, 56.41, 0.42, 49.89, 1.41, 69.35, 0.56, 76.36, 0.66, 5.83, 0.15
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, cora, 72.39, 0.66, 55.77, 0.69, 48.95, 1.26, 68.75, 0.50, 75.66, 0.54, 6.66, 0.37
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, cora, 72.57, 0.75, 56.03, 1.13, 48.88, 1.15, 69.10, 0.73, 75.42, 0.44, 6.59, 0.31
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, cora, 72.71, 0.66, 56.10, 0.41, 49.67, 1.29, 69.09, 0.38, 75.55, 0.65, 6.82, 0.32
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, cora, 73.01, 0.49, 56.32, 0.88, 49.59, 1.06, 69.41, 0.53, 75.13, 0.78, 6.93, 0.54
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, cora, 72.44, 0.58, 55.74, 0.85, 49.15, 1.29, 68.71, 0.41, 74.38, 0.96, 7.99, 0.93
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, cora, 73.36, 0.99, 57.06, 0.90, 50.30, 1.76, 69.74, 0.74, 74.36, 1.12, 7.51, 0.88
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, cora, 72.88, 0.95, 56.22, 0.64, 49.65, 1.73, 69.24, 0.59, 73.85, 0.89, 8.10, 0.80
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, cora, 72.68, 0.80, 55.77, 0.57, 49.29, 1.33, 68.93, 0.50, 74.15, 1.96, 7.95, 1.45
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, cora, 72.39, 0.67, 55.42, 0.95, 48.51, 1.25, 68.73, 0.61, 73.83, 0.53, 8.23, 0.53
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, cora, 72.36, 0.54, 55.75, 0.54, 48.59, 0.25, 68.92, 0.49, 73.85, 0.81, 8.26, 0.40
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, cora, 72.43, 0.58, 55.67, 0.80, 48.49, 0.54, 68.83, 0.65, 73.80, 1.05, 8.26, 0.78
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, cora, 72.02, 0.63, 55.48, 0.51, 48.34, 0.70, 68.49, 0.53, 74.17, 1.29, 8.16, 1.16
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, cora, 72.39, 0.58, 55.23, 0.94, 48.24, 1.10, 68.91, 0.50, 74.04, 0.93, 7.88, 0.88
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, cora, 72.44, 0.56, 55.45, 0.46, 48.66, 0.92, 68.81, 0.49, 73.58, 0.80, 8.36, 0.57
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, cora, 72.54, 0.55, 55.75, 0.72, 48.61, 0.65, 69.10, 0.63, 73.21, 0.94, 8.50, 0.85
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, cora, 72.36, 0.63, 55.71, 0.90, 48.45, 0.90, 68.94, 0.62, 73.55, 1.07, 8.47, 0.83
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, cora, 72.39, 0.83, 55.36, 1.25, 48.47, 1.24, 68.93, 0.82, 72.54, 1.61, 9.40, 1.47
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, cora, 72.31, 0.86, 55.74, 1.43, 48.56, 1.22, 68.77, 0.95, 73.12, 1.88, 8.96, 1.89
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, cora, 72.58, 0.69, 55.98, 0.79, 48.86, 0.87, 69.15, 0.62, 73.17, 0.88, 8.83, 0.57
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, cora, 72.27, 0.73, 55.34, 0.97, 48.44, 1.31, 68.65, 0.50, 73.41, 1.01, 8.67, 0.54
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, cora, 72.35, 0.71, 56.39, 0.96, 48.71, 0.76, 68.90, 0.74, 75.01, 0.40, 7.26, 0.43
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, cora, 72.04, 0.79, 55.72, 1.24, 48.68, 1.06, 68.55, 0.78, 75.15, 0.68, 7.30, 0.65
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, cora, 72.03, 0.86, 55.86, 1.09, 48.35, 1.16, 68.59, 0.77, 75.14, 0.20, 7.29, 0.18
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, cora, 71.77, 0.37, 55.57, 0.63, 48.64, 0.84, 68.39, 0.29, 75.22, 0.61, 7.50, 0.46
